crystalline_polished,,crystalline_nonpolished,,amorphous,,crystalline_coated,,crystalline_coated2,,crystalline_pyramid,,crystalline_black,,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,
1801,77.17172241,1801,74.90553284,1801,74.34453583,1801,36.53155136,1801,25.86227036,1801,23.50189018,1801,59.80528641,
1800,77.10221863,1800,74.77670288,1800,74.60930634,1800,36.36288452,1800,25.83488846,1800,23.55158234,1800,59.67831039,
1799,77.19667816,1799,74.92414093,1799,74.88772583,1799,36.53223801,1799,25.83117104,1799,23.47071075,1799,59.76190567,
1798,77.27871704,1798,74.80697632,1798,75.40720367,1798,36.35662842,1798,25.86272049,1798,23.67785072,1798,59.74678421,
1797,77.27857208,1797,74.85826874,1797,75.6858902,1797,36.55604553,1797,25.91988182,1797,23.62106323,1797,59.78229141,
1796,77.24662018,1796,74.84907532,1796,75.88130188,1796,36.4564743,1796,25.92483711,1796,23.58776283,1796,59.70019531,
1795,77.12348938,1795,74.93241882,1795,76.2438736,1795,36.57294846,1795,25.8459034,1795,23.50722313,1795,59.76478577,
1794,77.22529602,1794,74.78423309,1794,76.59397888,1794,36.48690414,1794,25.82813835,1794,23.49271393,1794,59.622509,
1793,77.23801422,1793,74.88043213,1793,76.85821533,1793,36.52022552,1793,25.93247223,1793,23.560112,1793,59.80126953,
1792,77.30329132,1792,74.95410156,1792,77.26091766,1792,36.51402664,1792,25.86845398,1792,23.52830696,1792,59.73463058,
